"","HTP","CH Haguenau","CH Colmar","CH Mulhouse","CH Belfort","CH Epinal","Bar-le-Duc","CH Forbach","CH Metz (Mercy)","CHU Nancy (Central)"
"Storckensohn",95.6,114.5,50.7,37.9,45.1,59.2,154.2,159.5,135.4,98
"Strueth",98.1,117,56.4,34.8,32.6,104.6,199.6,161.9,180.9,143.4
"Tagolsheim",82.4,101.3,44,14.5,32.7,97.1,192.2,146.2,167,136
"Tagsdorf",89.5,108.3,51.1,18.9,38.7,104.2,199.2,153.3,174,143
"Thann",80.2,99.1,35.3,22.6,29.7,71.8,166.8,144.1,148.1,110.6
"Traubach-le-Bas",86.8,105.7,43.3,27.1,24.8,94.9,190,150.7,171.2,133.8
"Traubach-le-Haut",86.8,105.7,43.3,27.1,24.8,94.9,190,150.7,171.2,133.8
"Ueberstrass",102.3,121.2,62.4,34.4,36.7,101.8,196.8,166.2,178,140.6
"Urbès",95.6,114.5,50.7,37.9,45.1,59.2,154.2,159.5,135.4,98
"Vieux-Ferrette",99.4,118.3,61,36.1,49.5,114.6,209.6,163.2,184,153.4
"Vieux-Thann",76.1,95,31.1,18.4,25.6,76.4,171.4,139.9,152.7,115.2
"Waldighoffen",96.1,115,57.7,31.2,46.6,112.8,207.8,159.9,180.7,151.6
"Walheim",82.4,101.3,44,14.5,32.7,97.1,192.2,146.2,167,136
"Wegscheid",95.5,114.3,50.5,35.8,31,73.2,168.3,159.3,149.5,112
"Werentzhouse",93.2,112.1,54.9,37.3,52.7,118.8,213.9,157.1,177.8,157.7
"Wildenstein",100.2,119,54.1,47.3,54.5,63.9,158.9,161.9,140.2,102.7
"Willer",94.3,113.1,55.9,28.4,45.6,111.1,206.1,158.1,178.8,149.9
"Willer-sur-Thur",85.6,104.4,40.6,27.9,35.1,70.3,165.4,149.4,146.6,109.2
"Winkel",103,121.9,64.6,42.2,48.5,113.6,208.6,166.9,187.6,152.4
"Wittersdorf",87,105.9,48.7,19.1,36.3,101.8,196.8,150.9,171.6,140.6
"Wolfersdorf",89.2,108,47.4,28.4,24.3,97.4,192.5,153,173.7,136.3
"Wolschwiller",100.8,119.7,62.4,46.3,62.1,127.2,222.2,164.6,185.4,166
"Attenschwiller",82.4,101.3,44,27.9,48.6,111.3,204.5,146.2,167,149.5
"Bartenheim",75.8,94.7,37.4,21.3,42,104.8,197.9,139.6,160.4,143
