,X,HTP,CH_Haguenau,CH_Colmar,CH_Mulhouse,CH_Belfort,CH_Epinal,Bar_le_Duc,CH_Forbach,CH_Metz__Mercy_,CHU_Nancy__Central_,choix1,choix2,choix3
830,TRAUBACH-LE-HAUT,"88,9","108,5","44,3",29,"24,4","96,1","191,1","151,5","172,3",135,"CH,Belfort","CH,Belfort","CH,Mulhouse"
738,TRIEMBACH-AU-VAL,"36,6","56,2","30,3","53,6","71,7","87,7","152,7","99,2",120,98,"CH,Colmar","CH,Colmar",HTP
22,TRIMBACH,"40,7","34,8",87,"106,4","124,4","148,4","174,8","92,4","113,1",120,"CH,Haguenau",HTP,HTP
571,TRUCHTERSHEIM,"15,2","24,7",59,"82,3","100,3","125,9","152,4","69,9","90,6","97,5",HTP,HTP,"CH,Haguenau"
804,TURCKHEIM,"52,5","72,1","6,1","38,3","50,3","84,8","170,4","115,2","135,9","115,6","CH,Colmar","CH,Colmar","CH,Mulhouse"
800,UEBERSTRASS,"101,6","121,1","61,9","34,2","36,4","101,6","196,5","164,2","177,8","140,5","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
541,UFFHEIM,"76,2","95,7","37,6","18,5","42,3","105,2","198,3","138,8","159,5","143,4","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
63,UFFHOLTZ,"73,2","92,8","28,2","20,1","26,9","81,8","176,7","135,9","156,6","120,7","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
182,UHLWILLER,"27,3",15,"73,3","96,7","114,7","122,8","149,2","66,8","87,6","94,5","CH,Haguenau",HTP,HTP
851,UHRWILLER,"38,9","25,9",85,"108,3","126,3","127,4","153,9","71,4","92,2",99,"CH,Haguenau",HTP,HTP
417,UNGERSHEIM,"64,8","84,3","23,3","18,7","34,8","91,5","186,4","127,4","148,1","130,3","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
551,URBEIS,"46,3","65,8","39,7",63,81,"78,5","143,5","108,9","124,7","88,7","CH,Colmar","CH,Colmar",HTP
388,URBES,"94,6","114,1","49,3","36,5","43,8","57,9","152,9","157,2","134,1","96,8","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
386,URMATT,"32,1","51,6","51,3","74,6","92,7","97,6","154,5","84,6","105,3","99,7",HTP,HTP,"CH,Colmar"
788,URSCHENHEIM,"53,9","73,5","16,5","37,8","55,8","102,1","175,9","116,5","137,3","121,2","CH,Colmar","CH,Colmar","CH,Mulhouse"
225,UTTENHEIM,"24,2","43,8","37,7",61,79,107,"171,9","91,4","112,1","117,2",HTP,HTP,"CH,Colmar"
619,UTTENHOFFEN,"33,2","16,9","79,3","102,6","120,6","131,6","158,1","75,4","96,4","103,3","CH,Haguenau",HTP,HTP
273,UTTWILLER,"32,3","27,7","78,4","101,7","119,7","118,8","145,3","62,3","83,1","90,4","CH,Haguenau",HTP,HTP
855,VAL DE MODER,"31,6","19,3","77,7",101,119,"122,7","149,2","66,8","87,5","94,4","CH,Haguenau",HTP,HTP
13,VALDIEU-LUTRAN,"94,1","113,6","52,5","33,4","20,1","93,4","188,3","156,7","169,6","132,3","CH,Belfort","CH,Belfort","CH,Mulhouse"
48,VALFF,"22,4","41,9","34,1","57,2","75,3","103,2","167,4",85,"105,8","112,6",HTP,HTP,"CH,Colmar"
594,VENDENHEIM,"13,2","19,5","59,2","82,6","100,6","123,1","149,6","67,1","87,9","94,8",HTP,HTP,"CH,Haguenau"
722,VIEUX-FERRETTE,"98,6","118,2",60,"35,4","48,7","113,8","208,7","161,2",182,"152,7","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
437,VIEUX-THANN,"77,5","97,1","32,3","19,4","26,8","75,8","170,7","140,2",152,"114,6","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
503,VILLAGE-NEUF,"80,3","99,8","41,7","25,6","46,5","109,3","202,4","142,9","163,7","147,5","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
625,VILLE,"38,4",58,"31,8","55,1","73,2",86,151,101,"121,8","96,2","CH,Colmar","CH,Colmar",HTP
216,VOEGTLINSHOFFEN,"60,3","79,8","14,3","32,2","44,1","95,7","179,5","122,9","143,7","124,8","CH,Colmar","CH,Colmar","CH,Mulhouse"
284,VOELLERDINGEN,"54,1","49,5","94,2","117,6","135,6","115,3","139,7","38,5","59,2","86,9","CH,Forbach","CH,Forbach","CH,Haguenau"
385,VOGELGRUN,"60,6","80,2","22,3","39,5","57,6","107,4","182,7","123,2",144,"127,9","CH,Colmar","CH,Colmar","CH,Mulhouse"
495,VOLGELSHEIM,59,"78,5","20,6","37,9","55,9","105,7",181,"121,6","142,3","126,2","CH,Colmar","CH,Colmar","CH,Mulhouse"
718,VOLKSBERG,59,"52,8","105,1","128,4","146,4","130,4","156,8",56,"76,7","102,1","CH,Haguenau","CH,Forbach","CH,Forbach"
9,WAHLBACH,"86,7","106,2","48,3","16,9","41,8","107,4","202,3","149,3",170,"146,3","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
297,WAHLENHEIM,"18,7","9,6","64,8","88,1","106,1","117,1","143,6","61,1","81,9","88,7","CH,Haguenau",HTP,HTP
162,WALBACH,58,"77,5","11,5","42,3","54,3","78,9","173,4","120,6","141,5","117,2","CH,Colmar","CH,Colmar","CH,Mulhouse"
178,WALBOURG,"34,3","15,8","80,3","103,7","121,7","132,7","159,2","76,7","97,6","104,2","CH,Haguenau",HTP,HTP
764,WALDERSBACH,50,"69,5","50,4","73,8","91,8","81,3","138,4","104,2","119,8","83,7",HTP,HTP,"CH,Colmar"
